,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Death and Life Expectancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Life Expectancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Life Expectancy By Sex, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 25/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Years
Data Series,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1975 ,1970 ,1965 ,1960 
Total Life Expectancy At Birth (Residents),83.9,83.7,83.4,83.2,83,82.9,82.6,82.4,82.1,81.9,81.7,81.4,80.9,80.6,80.3,80.1,79.6,79.1,78.6,78.3,78,77.6,77.3,76.9,76.6,76.3,76.2,76.1,75.9,75.6,75.3,74.9,74.7,74.5,74.2,73.9,73.3,73,72.6,72.5,72.1,66.8,65.8,64.5,62.9
  Male Life Expectancy At Birth (Residents),81.5,81.4,81.2,80.9,80.7,80.5,80.3,80.1,79.8,79.5,79.2,78.9,78.4,78.1,77.8,77.6,77.1,76.6,76.6,76.3,76,75.6,75.3,74.8,74.4,74.1,74.1,73.9,73.8,73.5,73.1,72.8,72.6,72.5,72.1,71.5,70.9,70.5,70.2,70.1,69.8,65.1,64.1,62.8,61.2
  Female Life Expectancy At Birth (Residents),86.1,85.9,85.5,85.4,85.1,85.1,84.8,84.5,84.3,84.1,84,83.7,83.3,82.9,82.6,82.5,82,81.6,80.6,80.3,80,79.6,79.4,79.1,78.9,78.6,78.4,78.3,78.2,77.9,77.6,77.2,76.9,76.7,76.5,76.4,75.8,75.7,75.3,75.2,74.7,68.8,67.8,66.6,65
Total Life Expectancy At Age 65 Years (Residents),21.5,21.4,21.2,21,20.8,20.8,20.6,20.4,20.2,20,19.8,19.6,19.3,19,18.9,18.7,18.4,18,17.3,17.1,16.9,16.6,16.5,16.3,16.1,16,15.9,15.9,15.9,15.9,15.7,15.5,15.4,15.3,15.1,14.9,14.6,14.4,14.2,14.2,14,8.5,8.4,8.3,8.3
  Male Life Expectancy At Age 65 Years (Residents),19.6,19.5,19.4,19.2,19,18.9,18.8,18.6,18.4,18.1,18,17.8,17.5,17.2,17.1,16.9,16.5,16.2,16.1,15.9,15.6,15.3,15.2,14.9,14.7,14.6,14.6,14.6,14.7,14.6,14.5,14.3,14.1,14.1,13.9,13.6,13.2,13,12.8,12.7,12.6,8.2,8,7.8,7.8
  Female Life Expectancy At Age 65 Years (Residents),23.2,23,22.7,22.6,22.4,22.3,22.1,21.9,21.7,21.6,21.4,21.2,20.8,20.6,20.4,20.4,20,19.6,18.5,18.3,18.1,17.9,17.7,17.5,17.4,17.2,17.2,17.2,17.2,17.1,16.9,16.7,16.6,16.5,16.3,16.2,15.9,15.8,15.6,15.6,15.4,8.9,8.9,8.8,8.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refer to Singapore residents (citizens and permanent residents) from 1980. Prior to 1980, figures refer to total population. Data for the latest available year is preliminary. For more information, please refer to the 'Complete Life Tables for Singapore Resident Population' publication (www.singstat.gov.sg/publications/population/complete-life-table) and Information Paper on 'Complete Life Tables 2003-2006 for Singapore Resident Population' (www.singstat.gov.sg/find-data/search-by-theme/population/death-and-life-expectancy/publications-and-methodology).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Expectancy:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Life expectancy is the average number of additional years a person at a specific age (such as at birth or age 65 years) could expect to live, if he or she were to experience the age-specific mortality rates of the reference period throughout his/her life. For example, a new-born with a life expectancy at birth of 80 years could expect to live to the age of 80 years. A 65-year-old with a life expectancy at age 65 years of 12 years could expect to live an additional 12 years. Life expectancy does not account for future changes in mortality. It provides an indication of the average longevity of the population; but, it is not necessarily a reflection of the longevity of an individual.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 13/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
